Wikidata_QID,English_Label,Num_Languages,Total_Views_All_Langs,Languages,Top5_Languages_Detail
Q1072,Heart,174,27589720,"af, als, am, an, ang, ann, anp, ar, arc, as, ast, atj, av, ay, azb, ba, bat-smg, bdr, be, be-x-old, bew, bg, bh, bjn, bn, bo, br, bs, btm, bxr, ca, cbk-zam, cdo, ce, ceb, ckb, co, cs, cv, cy, diq, dv, el, eml, eo, es, et, eu, fa, fiu-vro, fj, fo, fy, ga, gcr, gl, gn, gom, ha, hak, hi, hif, hr, ht, hu, hy, hyw, ia, iba, id, ie, ilo, inh, io, is, jbo, jv, ka, kbp, kge, kk, kn, kv, kw, ky, la, lb, lbe, lfn, li, lmo, ln, lo, lt, lv, map-bms, mdf, mg, mhr, mk, mr, mrj, ms, mt, nah, nap, nds, ne, new, nn, nqo, nrm, oc, om, or, pa, pag, pam, pnb, ps, pt, qu, rki, rn, ro, roa-rup, rue, rw, sa, sah, sc, scn, sco, sd, se, shi, si, simple, sk, sl, sn, so, sq, su, sv, sw, szl, szy, ta, te, tg, th, ti, tr, trv, tt, tw, ug, ur, uz, vec, vep, vi, vls, vo, war, xal, xh, xmf, yi, yo, za, zgh, zh-min-nan","es:#22(6,208,596); fa:#38(2,085,079); ar:#21(1,932,884); hi:#7(1,635,140); pt:#40(1,577,868)"
Q7873,Blood,160,10586999,"als, am, ami, an, ang, ann, arc, as, ast, atj, av, az, azb, ba, ban, bar, bat-smg, bcl, be, be-x-old, bew, bh, bn, bo, br, bxr, ca, cbk-zam, cdo, ce, ceb, chr, ckb, cu, cv, cy, da, dag, diq, dv, el, eo, et, eu, ext, fiu-vro, fj, fo, frr, fur, fy, ga, gcr, gd, gl, gn, gom, gu, hak, hi, hif, hr, ht, hy, hyw, ia, iba, id, ie, ilo, inh, io, iu, jv, ka, kab, kbp, kge, kk, km, kn, knc, ku, kus, kw, ky, la, lb, lbe, li, lmo, ln, lt, lv, mad, mdf, mg, mhr, mk, mr, mt, my, nds, ne, new, nia, oc, om, or, pa, pam, pap, pnb, ps, qu, ro, roa-rup, rue, sa, sah, scn, sco, sd, se, shi, simple, sk, sl, sn, so, sq, sr, su, sw, szy, tcy, te, tg, th, tok, tt, tw, tyv, ug, ur, uz, vec, vep, vi, vls, vo, war, wo, xh, xmf, yi, yo, za, zh-min-nan, zu","hi:#21(1,154,056); id:#32(805,232); kk:#3(769,339); ro:#20(590,213); bn:#9(533,154)"
Q12199,HIV/AIDS,152,49925634,"af, als, am, anp, ar, ary, arz, as, az, ba, bat-smg, be, be-x-old, bg, blk, bm, bn, bo, br, bxr, cdo, ce, ckb, cv, cy, din, diq, dty, dv, el, en, eo, es, ext, fa, fiu-vro, fo, fr, fur, fy, ga, gan, gcr, gd, gn, gom, gor, gu, ha, hak, he, hi, hif, ht, hu, hy, ia, iba, id, ig, ilo, is, it, jam, jv, ka, kaa, kbp, kg, ki, kk, km, kn, ko, ks, ku, lb, lg, li, lmo, ln, lo, lt, lv, mad, mai, mhr, mk, mr, mt, nds-nl, ne, new, nl, nn, nv, oc, or, pa, pap, pcm, pnb, ps, qu, ro, rue, sa, sah, sc, scn, sco, sd, sh, shi, si, simple, sl, sn, so, sq, sr, su, sw, ta, te, tg, th, tk, tl, tly, ts, tt, tum, tw, ur, uz, ve, vec, vi, wa, war, wuu, xmf, yi, yo, za, zgh, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#50(15,753,466); es:#33(5,288,734); zh:#5(3,725,505); ar:#10(2,558,263); fa:#20(2,512,415)"
Q84263196,COVID-19,143,44688859,"ami, an, ang, anp, ary, arz, as, ast, atj, av, awa, azb, bcl, be, be-x-old, bh, bjn, blk, bo, br, btm, bug, bxr, ca, cdo, chr, crh, cs, cu, cv, cy, dag, din, diq, dz, el, eml, en, eo, es, et, eu, ff, fr, frp, frr, fy, ga, gan, gl, gn, gor, gpe, gu, guc, guw, gv, ha, hak, haw, hif, ht, ia, is, it, iu, jv, kab, kcg, ki, km, kn, knc, ko, ks, ku, la, lb, li, lmo, ln, lo, mai, mhr, mi, min, ms, mzn, nds, nds-nl, nl, nr, nrm, ny, oc, or, pa, pap, pl, pnb, ps, pwn, qu, rm, roa-rup, sah, sc, sco, sd, shn, si, sk, sn, su, syl, szl, szy, tay, tcy, te, tet, tl, to, tok, tr, trv, ts, tt, tum, tw, ug, wa, war, wuu, xmf, yo, za, zgh, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#47(16,034,479); es:#3(12,508,915); it:#8(3,315,600); zh:#14(2,752,599); fr:#36(2,534,544)"
Q5873,Sexual intercourse,136,175542463,"af, als, am, an, ar, ary, arz, as, ast, az, azb, ba, ban, bar, bcl, be, be-x-old, bg, bh, bn, bo, br, bs, btm, bxr, ca, cdo, ceb, ckb, cs, cu, cv, cy, da, de, diq, el, en, eo, es, et, eu, fa, fr, fy, ga, gan, gd, gl, glk, gn, hak, he, hi, hr, hsb, ht, hy, ia, id, ilo, io, is, it, iu, ja, jbo, jv, ka, kaa, kn, ko, ksh, ku, la, li, lmo, ln, lo, mad, mai, mg, mi, mr, ms, mt, my, mzn, ne, new, nl, nn, ny, om, or, pap, pl, ps, pt, qu, ro, ru, sa, sah, scn, sco, sd, sh, si, simple, sl, sn, sq, sr, sw, ta, te, th, tk, tl, tn, tr, tt, tum, ur, uz, vi, war, wuu, xmf, za, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#1(43,759,801); fa:#1(32,634,745); ja:#1(20,499,417); de:#3(10,506,424); ru:#9(7,675,015)"
Q808,Virus,136,44725553,"als, am, an, ang, ar, arc, as, ast, az, azb, ba, bat-smg, bcl, be, be-x-old, bg, bh, bn, bo, bxr, ca, cdo, ckb, csb, cv, cy, dag, dv, es, et, eu, ext, fo, fr, frr, fy, ga, gcr, gl, gn, gor, gv, hak, he, hi, hif, hr, ht, hu, hy, hyw, ia, id, ie, ilo, inh, io, is, it, ja, jv, ka, kaa, kbp, ki, kk, ko, kw, ky, la, lb, lfn, lg, lij, lmo, ln, lo, lt, lv, mad, mg, min, mk, myv, nds, new, nl, nn, oc, om, pam, pap, pl, pnb, ps, pt, qu, rki, rn, ro, ru, rue, sah, scn, sco, sd, sh, si, simple, sk, sl, so, sq, sr, su, sv, tcy, tg, th, tok, tpi, tr, tt, tyv, ug, uz, vi, wa, war, xmf, yi, yo, za, zh, zh-classical, zh-min-nan","es:#9(9,416,377); ru:#32(5,656,117); ja:#45(2,642,464); it:#23(2,464,073); id:#1(2,366,997)"
Q12204,Tuberculosis,135,75860858,"af, als, am, an, anp, ar, arz, as, ast, awa, ay, az, ba, bat-smg, be, be-x-old, bg, bjn, blk, bm, bn, bo, br, bxr, ca, cs, cv, cy, da, dag, de, dty, el, en, es, et, eu, fi, fiu-vro, fo, fr, fy, gcr, gd, gl, gn, gpe, gu, gv, hak, he, hi, hif, hu, hy, hyw, ia, id, ilo, is, it, ja, jam, jv, ka, kbp, kk, kn, ko, ku, ky, lb, lfn, lg, li, lmo, ln, lo, lt, lv, mk, mr, mt, my, nah, ne, new, nl, no, nv, ny, or, pa, pl, pnb, ps, pt, qu, ro, ru, rue, sa, sah, sc, scn, si, sk, sl, smn, sq, sr, su, sv, sw, szl, ta, te, tg, th, tk, tl, trv, tt, tw, tyv, ur, uz, wa, war, wo, wuu, xh, yi, zh-min-nan, zh-yue","en:#12(25,907,588); de:#5(8,658,342); ru:#17(6,564,376); es:#27(5,707,584); it:#12(3,047,715)"
Q7186,Marie Curie,132,79479258,"als, alt, an, ann, arz, as, ay, azb, ba, ban, bar, bat-smg, bcl, be, bew, bh, bi, br, btm, bxr, ca, ce, ceb, crh, cs, csb, da, de, diq, dtp, dty, el, en, eo, es, eu, ext, fo, fr, frr, fy, ga, gan, gcr, gd, gl, gn, gpe, hak, he, hif, hr, ht, ia, iba, ilo, io, is, it, jam, jbo, kaa, kbp, km, kn, knc, ko, ks, ku, kw, lad, lb, lij, lmo, mad, mai, map-bms, mg, min, mt, my, mzn, nah, nds, nds-nl, ne, new, nl, nn, no, oc, olo, om, or, pa, pam, pcd, pl, pms, pnb, pt, qu, ro, roa-rup, rue, sa, sah, scn, sco, sd, si, simple, smn, sr, sv, tcy, te, th, tn, tok, tr, tyv, udm, vep, vi, vo, xmf, yi, yo, zea, zh-classical, zh-min-nan","en:#9(28,035,376); es:#1(15,404,214); fr:#1(8,685,766); pl:#1(5,940,082); de:#25(5,175,786)"
Q10876,Bacteria,129,24769339,"ace, als, am, anp, ar, arc, ary, as, ast, ay, az, azb, ba, bat-smg, bcl, be, be-x-old, bn, br, ca, cdo, ceb, chr, ckb, cs, cy, da, dv, eo, es, et, eu, ext, fiu-vro, fo, frr, fy, ga, gcr, gd, gl, gv, hak, he, hi, hif, hr, hsb, ht, hu, hy, ia, id, ilo, inh, io, is, jam, jv, ka, kaa, ki, kk, ko, ku, kw, ky, lfn, lg, li, lij, lld, lmo, lt, lv, mg, min, mk, mr, mzn, nap, nds, new, nl, nn, nrm, oc, om, pa, pap, pnb, ps, qu, ro, rue, rw, sa, sah, sc, scn, sco, sd, sh, si, simple, sk, sl, so, su, tg, th, tok, tr, tt, ur, uz, vec, vep, vi, vo, wa, war, wuu, xmf, yi, za, zh-classical, zh-min-nan, zu","es:#7(9,744,037); ar:#31(1,625,348); id:#7(1,396,722); hi:#14(1,332,281); kk:#1(880,747)"
Q9215,Sigmund Freud,128,71210707,"als, am, an, ar, arc, arz, ay, azb, ba, bar, bat-smg, bcl, be, be-x-old, bew, bh, br, btm, bxr, ca, cdo, ce, chr, ckb, co, crh, cs, cv, da, de, diq, el, en, eo, es, eu, ext, fa, fo, fr, fur, fy, ga, gan, gcr, gd, gl, gom, gv, haw, he, hif, hr, ht, ia, ie, ilo, io, is, it, jam, jbo, jv, ka, kaa, kab, kbp, km, knc, ko, koi, ku, kw, lb, lfn, li, lij, mad, map-bms, mg, mwl, myv, mzn, nds-nl, new, nl, no, nrm, os, pa, pag, pam, pl, pms, pnb, ps, pt, qu, ro, roa-rup, ru, rue, sah, sc, scn, sco, se, shi, si, sl, sv, szl, szy, tr, tt, ug, ur, vep, vo, war, xmf, yi, yo, za, zea, zgh, zh, zh-min-nan","en:#17(23,405,623); es:#5(10,759,680); de:#17(5,878,680); ru:#37(5,401,876); fr:#12(3,855,851)"
Q12078,Cancer,128,11735883,"af, als, am, an, anp, ar, arc, arz, as, az, azb, ba, bat-smg, bcl, be, be-x-old, bg, bh, bn, bo, br, bxr, cdo, ckb, cs, cy, dag, diq, dty, dv, el, eo, et, eu, ext, fiu-vro, frr, fy, ga, gan, gcr, gd, gl, gn, gpe, gu, guw, gv, ha, hak, he, hif, ht, hy, hyw, ia, iba, id, ilo, inh, io, is, jam, jv, ka, kbp, kk, kn, knc, ks, ku, la, lg, li, lt, mk, mr, my, nds-nl, ne, new, nn, oc, olo, om, or, pam, pnb, ps, qu, rki, ro, rue, sa, sco, sd, se, si, simple, sk, skr, sn, so, sq, su, szy, ta, tcy, te, tg, tl, tok, tpi, ts, tt, tw, vec, vi, vo, wa, war, wuu, xmf, yi, za, zh, zh-classical, zh-min-nan","ar:#11(2,419,060); zh:#42(1,708,318); vi:#16(733,263); cs:#39(619,089); id:#49(613,519)"
Q11190,Medicine,125,2226199,"als, am, an, arc, ary, ast, av, ay, ba, bat-smg, bcl, be, be-x-old, bh, bi, bm, bpy, br, bs, bxr, cdo, ce, ceb, chr, ckb, co, csb, cv, cy, diq, eo, eu, ext, fiu-vro, fo, frp, fur, fy, ga, gcr, gd, gl, gor, gv, hak, hif, ht, hyw, ia, ie, ilo, inh, io, is, iu, jam, jv, kaa, kab, kk, ks, ku, kw, ky, la, lad, lb, lfn, li, lij, lo, mhr, min, ms, mt, mwl, my, nap, nds, nds-nl, nn, nov, oc, om, or, os, pa, pcd, pi, ps, qu, rm, rue, sa, sah, sc, scn, sco, sd, shi, simple, so, stq, su, ta, tg, ti, tly, tok, ts, tt, tum, ur, uz, vec, vep, vo, wa, war, wo, wuu, xmf, yi, za, zh-min-nan","kk:#35(258,239); ta:#23(231,531); uz:#39(167,622); ms:#50(139,668); simple:#41(124,624)"
Q12147,Health,113,12690504,"af, als, am, an, as, ast, az, ba, ban, bat-smg, bcl, be, be-x-old, bjn, blk, bpy, br, bxr, ca, ceb, chr, ckb, co, cu, cv, cy, eml, eo, es, eu, ext, fiu-vro, fj, frp, fur, ga, gcr, gd, gl, gn, hak, haw, hi, hif, ht, ia, id, ig, ilo, inh, io, is, jam, kcg, kk, km, kn, knc, krc, ku, ky, la, li, lmo, lo, lv, mdf, mg, mr, ms, mwl, my, ne, new, nn, nrm, oc, or, pa, pam, pcm, pfl, pi, pnb, ps, qu, rue, sa, sc, scn, sco, sd, sh, si, simple, sn, so, sq, su, sw, tg, ti, tl, ts, tt, tum, tyv, ur, vep, war, yi, zea, zh-min-nan","es:#16(7,250,628); hi:#20(1,157,930); id:#22(924,736); mr:#7(389,668); kk:#30(297,403)"
Q81068910,COVID-19 pandemic,111,99431169,"af, als, am, ami, an, ang, as, awa, azb, ban, bat-smg, bcl, be, be-x-old, bh, bjn, bo, br, bug, bxr, cdo, ce, ceb, cv, cy, dag, de, diq, dsb, dty, en, es, fr, frp, ga, gan, gn, gv, hak, haw, he, hif, hsb, ht, ia, iu, jbo, kaa, kab, km, ko, kus, lb, lij, lmo, lo, lt, lv, min, ms, mt, mwl, my, nl, ny, pap, pcm, pl, pnb, pt, qu, ru, sah, sc, sco, sd, shi, shn, si, simple, so, szl, ta, tg, th, ti, tk, tl, tn, tok, tpi, tr, ts, tw, ug, ur, uz, ve, vec, vi, war, wo, wuu, xh, yi, yo, zh, zh-classical, zh-min-nan, zh-yue, zu","en:#2(42,276,897); ru:#1(13,270,371); zh:#1(10,822,723); de:#6(8,500,509); es:#15(7,369,932)"
Q7817,World Health Organization,107,19162857,"ab, als, am, an, as, ba, ban, bbc, bcl, be, be-x-old, bh, bi, bjn, bn, bo, br, btm, bxr, ce, ckb, crh, cv, dag, dty, eml, en, eo, eu, fiu-vro, fo, frp, frr, fy, gcr, gl, gn, gv, ha, hak, hi, hif, ia, iba, ie, ilo, io, is, jam, kaa, kab, kbp, kcg, ki, km, knc, krc, ku, kus, kw, la, lb, lfn, li, lmo, lo, min, mt, ne, new, nn, ny, oc, or, pa, pap, pms, ps, rki, rue, sa, sah, sc, scn, sd, shn, si, smn, sn, so, su, szl, ti, tk, tr, tt, ug, vec, vep, vi, war, wuu, xmf, yi, yo, zh-classical, zh-yue","en:#46(16,050,230); hi:#17(1,201,913); tr:#46(564,266); vi:#33(466,182); bn:#34(254,492)"
Q12206,Diabetes,105,18791263,"als, am, an, ar, arz, as, awa, azb, ba, ban, bat-smg, be, be-x-old, bg, bh, blk, bpy, br, bxr, ce, ceb, ckb, cv, din, dv, eo, eu, fo, ga, gcr, gn, he, hi, hr, hu, hy, hyw, ia, iba, id, ilo, io, jam, jv, ka, kcg, kk, km, kn, ko, ks, ku, kw, ky, la, lb, lg, li, lij, lt, lv, min, mr, my, ne, new, nia, nn, om, or, os, pa, pam, pap, pnb, ps, qu, ru, rue, sa, se, sh, shi, shn, si, sl, so, sq, su, syl, ta, te, tg, th, tk, tt, ug, ur, uz, war, xmf, yi, zh, zh-min-nan, zh-yue","ru:#31(5,782,101); zh:#7(3,410,537); ar:#17(2,069,466); hi:#32(854,183); id:#33(798,990)"
Q12156,Malaria,99,8869088,"als, an, ann, anp, as, awa, ba, bat-smg, be-x-old, bh, bn, br, bxr, ca, cdo, chr, cy, din, dv, ee, el, eo, eu, ext, fiu-vro, fo, fr, fy, ga, gcr, gd, gl, gn, gpe, gu, ha, hak, hi, ht, hyw, ia, ig, ilo, io, is, jam, kbp, kn, knc, ku, lfn, lmo, ln, mad, mg, min, mr, ms, mt, my, new, nia, nn, nso, om, or, pa, pcm, pms, pnb, ps, pt, qu, rue, sa, sc, scn, sd, si, simple, sk, su, sw, tcy, te, tg, tly, ts, tt, tw, vep, wo, wuu, xh, yi, yo, za, zh-min-nan, zu","fr:#21(3,200,757); pt:#15(2,138,776); hi:#24(1,109,828); el:#43(343,522); bn:#30(274,428)"
Q4,Death,99,1384633,"als, am, an, arc, ary, arz, as, ast, av, ba, bar, bat-smg, be, be-x-old, bh, bo, br, bs, btm, bug, bxr, cdo, ce, ceb, cu, cy, diq, eo, ext, fy, ga, gan, gcr, gn, guw, ha, hak, hif, ht, hyw, ia, iba, ilo, inh, io, iu, kab, kbp, kcg, ki, km, ku, kw, la, li, lij, ln, mg, mr, mrj, mt, myv, nah, new, nia, oc, pa, pam, pap, pcm, pnb, ps, qu, roa-rup, rue, sah, scn, sco, sd, simple, sn, so, su, szl, tcy, tok, tt, tw, ur, vep, vi, wa, wuu, yi, za, zh-classical, zh-min-nan, zh-yue, zu","vi:#27(528,906); simple:#40(126,537); mr:#48(93,685); bs:#26(81,393); zh-yue:#12(59,948)"
Q514,Anatomy,95,1284809,"als, an, arc, as, ast, av, awa, az, azb, ba, ban, bat-smg, bcl, be, be-x-old, bh, bjn, bo, br, ce, ckb, cv, cy, da, diq, eml, eo, ext, fiu-vro, fj, frp, fur, fy, gcr, gd, gor, hif, ht, ia, ik, ilo, inh, io, jam, jv, kaa, kab, knc, ks, ku, kw, ky, la, lb, lfn, li, mad, mdf, mg, mhr, min, mt, mwl, my, nds, new, nn, nov, nqo, nrm, oc, om, os, pam, pnb, ps, qu, roa-rup, rue, sah, sc, scn, sco, stq, su, th, tt, vec, vep, vo, wa, war, xmf, yi, zh-min-nan","th:#24(432,116); az:#42(171,015); da:#48(130,904); ky:#29(73,282); my:#14(47,163)"
Q12136,Disease,95,1105166,"als, an, ang, arc, ary, as, av, ay, azb, ba, bat-smg, be, be-x-old, bh, bjn, bm, bo, br, bxr, ca, cdo, ckb, cy, dag, eo, eu, ext, fiu-vro, fj, fy, ga, gan, gcr, gl, gn, hak, hif, ht, hyw, ia, ilo, inh, io, iu, jam, kab, ks, kw, la, lfn, lg, li, ln, mai, map-bms, mg, min, ms, myv, nah, ne, nn, oc, olo, pa, pnb, ps, qu, roa-rup, rue, sah, scn, sd, shi, so, szy, ta, tg, tok, ts, tt, tw, uz, vec, vep, wa, war, wuu, xh, yi, yo, za, zgh, zh-min-nan, zu","uz:#47(159,391); ta:#49(155,599); ms:#49(140,094); ca:#14(114,214); tg:#12(23,011)"
Q706,Calcium,90,1489170,"am, an, anp, ary, arz, awa, azb, ba, ban, bar, be-x-old, bg, bh, blk, bo, cdo, ceb, chr, ckb, co, dv, eo, et, eu, ext, fj, fo, frr, fur, ga, gan, gd, gn, gv, hak, haw, hif, ht, ia, io, jbo, ka, kbp, ki, kk, ku, kv, kw, la, lb, lfn, lg, li, lij, lmo, mdf, mi, mrj, nah, nds, new, nov, nv, oc, olo, os, pms, qu, roa-rup, sa, sah, sc, scn, sco, shi, so, stq, su, th, tok, tt, ug, vep, vo, xal, yi, yo, zgh, zh-classical, zh-min-nan","th:#49(353,674); kk:#24(328,557); bg:#49(297,043); ka:#49(104,150); et:#43(52,821)"
Q11995,Pregnancy,87,9431908,"af, als, as, az, azb, ba, ban, be, be-x-old, bjn, bn, bo, br, bxr, ca, cdo, ce, ckb, cy, eml, eo, et, eu, fa, fat, fiu-vro, fy, ga, gcr, gd, gl, gn, gom, ha, hi, hif, ht, hy, ie, ig, ilo, io, jam, kab, kk, kn, kw, ky, la, lb, li, ln, mad, mk, my, ne, ny, oc, or, pa, pam, pnb, pt, qu, rue, scn, sco, sd, simple, sn, syl, szy, ta, tcy, te, th, ti, tk, tl, tt, tw, ur, uz, vec, wa, xmf, zh-min-nan","fa:#46(1,878,252); pt:#35(1,616,073); hi:#19(1,184,855); ta:#1(678,575); bn:#10(527,400)"
Q8011,Avicenna,82,14882253,"als, an, ar, arz, az, azb, ba, bar, bat-smg, bew, bh, bi, bjn, bn, br, btm, bxr, ce, ceb, ckb, crh, cv, cy, diq, eo, ext, fa, ff, ga, gan, gcr, gl, glk, gor, ha, hif, ia, id, ilo, inh, jam, jv, kaa, kbp, knc, ku, kw, la, li, lld, lmo, mad, min, mwl, myv, nds, oc, pms, pnb, rue, sa, sah, sd, skr, so, su, syl, tg, tk, tly, tr, tt, tyv, ug, ur, uz, vep, war, xmf, yo, za, zh-min-nan","fa:#3(5,252,730); ar:#2(4,323,486); id:#2(2,180,434); uz:#1(960,642); tr:#28(702,066)"
Q7365,Muscle,75,3735494,"als, am, an, arc, as, av, ba, bat-smg, bcl, be, be-x-old, bew, bh, br, bs, bxr, ca, cdo, ce, chr, ckb, cy, diq, eo, fiu-vro, fj, fy, ga, gcr, hif, ht, ia, iba, id, ilo, io, is, jv, kab, kbp, kk, ku, la, lb, lbe, lfn, li, ln, lo, lt, lv, mg, mhr, pag, pnb, qu, ro, rue, sah, sd, se, sh, sl, so, su, th, tt, ug, uz, vls, wa, yi, yo, za, zh-min-nan","id:#23(910,304); kk:#5(677,000); th:#16(530,427); ro:#39(407,069); uz:#12(304,670)"
Q12192,Pneumonia,74,49830602,"af, als, am, ar, ast, awa, az, ba, bat-smg, bg, bn, bxr, ca, ce, cs, da, dv, dz, el, en, es, fi, gcr, gpe, he, hif, hr, hu, hy, hyw, id, ilo, is, kab, kk, km, ky, la, lb, lij, lld, lt, lv, min, mk, new, oc, or, pdc, ps, rn, ro, ru, sah, si, sk, sl, sq, sv, sw, ta, te, tg, tk, tl, tt, uz, vec, wa, wuu, xmf, yi, zh, zh-yue","en:#13(24,372,468); ru:#14(7,033,400); es:#46(4,919,205); zh:#17(2,622,842); ar:#35(1,531,430)"
Q153,Ethanol,74,39426687,"als, an, ast, awa, azb, ba, bar, bat-smg, bcl, be, be-x-old, bg, bo, br, bs, ca, ceb, cs, da, de, el, eo, es, et, eu, fi, fr, frr, fy, gl, gn, hif, hr, hu, id, ilo, it, ja, jv, knc, ko, kw, lb, li, lmo, lt, lv, ms, new, nl, nn, no, pl, pnb, ps, qu, ro, ru, sah, sh, sk, sl, sr, stq, sv, th, tt, tyv, vep, war, yi, zh, zh-classical, zh-min-nan","ru:#33(5,579,859); de:#22(5,571,509); es:#41(5,050,946); ja:#22(3,605,154); fr:#35(2,547,060)"
Q42005,Black Death,69,70862874,"als, an, arz, ba, be, be-x-old, br, ca, cdo, cy, da, el, en, es, fi, fiu-vro, fo, fr, fur, fy, ga, gcr, gd, got, hak, he, hr, hyw, is, it, jam, ka, kab, kbd, kbp, ko, ku, lad, li, lld, lv, mai, mt, mwl, nah, nds, new, nia, nl, nn, no, os, pl, pt, ro, sc, scn, sco, sk, smn, sv, szl, tr, vi, wa, war, xmf, zh, zh-yue","en:#4(32,712,145); es:#2(14,215,028); fr:#9(4,010,744); it:#6(3,445,991); zh:#11(2,821,734)"
Q10737,Suicide,69,16872732,"als, an, ar, as, ast, azb, ba, bar, bat-smg, bcl, be-x-old, bm, bn, bo, br, btm, bxr, ce, diq, eo, es, fi, fiu-vro, fo, fy, gcr, gd, gu, hi, hif, ht, hu, ie, ilo, inh, ja, jam, kw, la, lb, li, my, nds-nl, new, nl, no, nr, ny, or, pap, pl, pnb, ps, pt, qu, rn, sah, sc, si, simple, th, tl, tt, ur, wa, wo, yi, za, zh-classical","es:#44(5,029,283); ja:#39(2,770,019); pt:#16(2,105,175); pl:#50(1,360,885); ar:#46(1,338,960)"
Q8452,Abortion,67,11662313,"anp, ba, bat-smg, be-x-old, btm, bxr, ce, dag, diq, dz, eml, eo, es, ext, fiu-vro, fo, fy, ga, gcr, gn, guw, ha, hif, hr, ht, hyw, ia, ig, ilo, iu, jam, kbp, knc, ku, ky, la, lb, li, lmo, mai, mk, mt, my, nds-nl, ne, ny, pam, pms, pnb, pt, qu, rue, sc, sh, si, simple, sn, sw, szl, ta, tcy, tk, tl, tw, ur, yi, yo","es:#12(7,626,572); pt:#13(2,182,487); tl:#8(434,156); hr:#23(283,952); ta:#19(246,196)"
Q2840,Influenza,67,8095820,"als, an, ast, awa, ay, ba, bat-smg, blk, bo, br, bxr, ca, csb, dv, eu, fj, frp, frr, fy, gcr, gl, gn, guc, ha, ht, id, ilo, ja, jam, jv, kaa, kab, kk, ku, ky, ln, lv, map-bms, mg, min, nds, nl, nv, oc, or, pap, pms, pnb, qu, rn, roa-rup, rue, sah, sd, so, sw, th, tk, tl, ts, tt, tyv, vec, vls, wa, xmf, zh","ja:#36(2,786,365); zh:#40(1,719,083); nl:#13(1,024,701); id:#27(851,884); th:#7(652,666)"
Q39631,Medical doctor,65,1154172,"af, ami, arc, azb, bat-smg, bbc, be, be-x-old, bew, bjn, bn, bo, bxr, cbk-zam, cdo, chy, crh, eo, fo, fy, gcr, gd, glk, got, hak, ia, io, jam, ki, ks, ku, la, lb, lmo, ln, mdf, mg, min, mos, mt, nds, new, nn, oc, os, pa, pcd, qu, rmy, rue, scn, sd, sn, su, szy, th, ti, tok, tyv, wa, yi, yo, za, zh-classical, zh-min-nan","th:#15(560,201); bn:#49(206,583); af:#21(103,765); ln:#2(13,482); su:#3(12,462)"
Q57751738,Coronavirus,62,69645873,"ang, ar, ary, ay, az, azb, bbc, bjn, bn, ca, ckb, cs, da, en, fa, fr, ga, glk, gn, gor, gu, haw, hi, ht, hu, id, ig, kab, kcg, kn, ko, la, lmo, mai, min, mr, mt, mzn, nds-nl, ne, nl, or, pa, pap, pl, pt, qu, ro, sa, si, simple, sl, sv, syl, tcy, ti, tr, ts, ug, ur, vec, vi","en:#3(38,965,730); fr:#2(5,637,687); fa:#4(5,201,209); pt:#6(2,693,465); ar:#14(2,137,706)"
Q5887,Orgasm,62,56001008,"af, an, ar, ast, az, bat-smg, bcl, be, be-x-old, bn, bo, bs, cs, cy, de, en, eo, eu, ext, fa, fi, fy, ga, he, hr, hsb, hu, hy, ia, id, ie, ja, jv, ka, ko, ku, la, lt, mzn, nds, pl, ps, qu, ro, ru, sah, sc, sco, sh, simple, sk, sl, sr, su, tok, tr, vi, wuu, zh, zh-classical, zh-yue, zu","en:#29(18,029,974); ru:#23(6,240,722); ja:#8(5,167,318); de:#35(4,719,593); fa:#10(3,936,847)"
Q7162,Genetics,62,3830793,"am, an, av, avk, ba, ban, be, br, bs, ce, chr, cy, diq, eo, eu, ext, fy, ga, gcr, gd, gor, hi, ht, ia, id, ie, io, jam, jbo, jv, ki, kk, km, ku, ky, la, lfn, lg, lld, lo, mad, mdf, mhr, min, nov, oc, om, os, pap, pnb, qu, rue, sah, sco, sl, th, tyv, uz, vi, yi, yo, zh-min-nan","hi:#34(830,761); id:#38(696,320); th:#13(583,619); vi:#22(564,473); kk:#15(431,286)"
Q1103,Iodine,62,409756,"am, an, anp, ary, azb, ba, ban, be-x-old, bh, bi, bo, ca, cdo, ceb, co, cv, diq, dv, fo, frr, fur, gan, gd, gv, hak, hif, ia, io, jbo, jv, kbp, kv, kw, lg, li, lij, lld, lmo, mrj, myv, nds, nn, nov, olo, os, pms, pnb, roa-rup, sa, scn, skr, sl, so, stq, su, tt, tyv, ug, vep, xal, yo, zh-classical","sl:#33(92,028); ca:#38(77,494); an:#5(16,194); vep:#1(12,578); stq:#1(12,482)"
Q16917,Hospital,61,549499,"ami, an, ang, arc, ban, bcl, be, be-x-old, bh, br, bxr, ce, ceb, chy, cv, cy, dag, eo, fat, fy, ga, gan, gl, gn, gu, guw, hak, ht, ia, iba, ie, io, iu, jv, kn, ks, ku, la, lad, lb, lmo, ln, lo, qu, rmy, roa-rup, scn, sd, simple, sm, sn, so, szl, tn, trv, tw, vec, vls, wa, war, yi","simple:#30(160,104); kn:#11(102,427); bh:#4(26,397); gu:#39(23,677); iu:#4(11,145)"
